commit,high_confidence,medium_confidence,low_confidence,high_severity,medium_severity,low_severity,unique_cwes
89b1c6580d5fee39235e995b606fe6c94b918091,336,2,0,0,6,332,"[330, 78, 22, 605, 703]"
8b765b91892a509c5ea7f52757da6ba3c2f71138,336,2,0,0,6,332,"[330, 78, 22, 605, 703]"
8e3d092881264fd94a7069f51e30fcd4dc9e121d,340,2,0,0,6,336,"[330, 78, 22, 605, 703]"
917228bf4b1529d77993b8a9238c6f4333374b5c,336,2,0,0,6,332,"[330, 78, 22, 605, 703]"
993cdea66b0e4ddba20d2f506abef69a43fc0c1a,336,2,0,0,6,332,"[330, 78, 22, 605, 703]"
99e781369edd69d84ef24d9a1013184d92c99841,336,2,0,0,6,332,"[330, 78, 22, 605, 703]"
9e537d19d768fd8b63c28887abdda41ccc30c58f,336,2,0,0,6,332,"[330, 78, 22, 605, 703]"
9e80b7c17afafa3958969ee7afb43fcb4d6227d8,336,2,0,0,6,332,"[330, 78, 22, 605, 703]"
9f4a1e3c7506e9ea1637e9954bda61dc54c28d5d,336,2,0,0,6,332,"[330, 78, 22, 605, 703]"
a4efa4b343a79718275b889d459f0ce210d5d561,336,2,0,0,6,332,"[330, 78, 22, 605, 703]"
a73cd45ed5508fced4af7c0cc98a465a086e6119,336,2,0,0,6,332,"[330, 78, 22, 605, 703]"
a8d7d7ac159c1d91e30cda3ee33153e3fd4497a1,336,2,0,0,6,332,"[330, 78, 22, 605, 703]"
a8fc5b4e9c91c549bd5568e64dd42b3a2797cb43,336,2,0,0,6,332,"[330, 78, 22, 605, 703]"
abeb9550ad54707e352a178f745657715f09bef6,336,2,0,0,6,332,"[330, 78, 22, 605, 703]"
af6d6592dcee1e42bf0e136ea8bad5c8780871cc,336,2,0,0,6,332,"[330, 78, 22, 605, 703]"
b9b0a4b6a2c9f54f131465a7fb5fc1e0422eb6ba,336,2,0,0,6,332,"[330, 78, 22, 605, 703]"
bae90f204eb10e07e019a988136bbbfe8a344dfb,336,2,0,0,6,332,"[330, 78, 22, 605, 703]"
bcd8212907c71f1dbe7dbb3dba89528ea5e145b6,336,2,0,0,6,332,"[330, 78, 22, 605, 703]"
be2ba3970c1f835e3f6454d9efa534c2b464e46d,336,2,0,0,6,332,"[330, 78, 22, 605, 703]"
be983574c345fdb05d71e92452b134f6d881ecbc,336,2,0,0,6,332,"[330, 78, 22, 605, 703]"
bfc521d824b64268db23976701be4f34c87bfea0,336,2,0,0,6,332,"[330, 78, 22, 605, 703]"
c1014022531c34ed6b24c14826921d74e2688fbd,336,2,0,0,6,332,"[330, 78, 22, 605, 703]"
