commit,high_confidence,medium_confidence,low_confidence,high_severity,medium_severity,low_severity,unique_cwes
aa785aeaf29073733f58cc9a27fa8a93d0bf7250,830,0,0,0,48,782,"[295, 78, 22, 502, 703]"
ad1719aa1b646caa3fabb9d3964c1273ba28bb1f,636,0,0,0,38,598,"[295, 78, 22, 502, 703]"
ad24230c6cbfee2e11be0ab3cff3e1791ae9cd9f,862,0,0,0,54,808,"[295, 78, 22, 502, 703]"
ae4db75bf61948a8725ae651c9c5b1b9e9e07e43,846,0,0,0,50,796,"[295, 78, 22, 502, 703]"
b56950f1fdd1e647b17d28dfd04fe34e9d4edcbe,830,0,0,0,48,782,"[295, 78, 22, 502, 703]"
b5dc0e7b3229605a0810532b3630fb5efe600590,746,0,0,0,46,700,"[295, 78, 22, 502, 703]"
b604b649a4254e40715aa88250ff51c240d8b629,846,0,0,0,50,796,"[295, 78, 22, 502, 703]"
b675d80f52ed55d973f0dde894d0a0cbc7d3dc2a,746,0,0,0,46,700,"[295, 78, 22, 502, 703]"
badc69014d3e8ea676d4d72b60d0a9cc0db5bd49,744,0,0,0,46,698,"[295, 78, 22, 502, 703]"
bb2162ca8b502f04123b4bd2088699f76098c4b5,746,0,0,0,46,700,"[295, 78, 22, 502, 703]"
c27c15dcfc78ce25668f90308cecd33d70342fa3,862,0,0,0,54,808,"[295, 78, 22, 502, 703]"
c5c6f7c969345066f1e63de6fd16596eceaa8bc7,832,0,0,0,48,784,"[295, 78, 22, 502, 703]"
c674e8a104d954bd4848d97f25ae3557347a65fa,746,0,0,0,46,700,"[295, 78, 22, 502, 703]"
c7adcbf034b477c11d7d539a378cd8ca20effc11,746,0,0,0,46,700,"[295, 78, 22, 502, 703]"
c7c022990fdbd6f0aecbd6f19e7137b3b99b940e,744,0,0,0,46,698,"[295, 78, 22, 502, 703]"
cae7b7e916cbfd69d599137eb1b21ccbedd338b3,848,0,0,0,52,796,"[295, 78, 22, 502, 703]"
ccd70b69a5ba92b4b0c7b0300cb5683fa2653ba4,846,0,0,0,50,796,"[295, 78, 22, 502, 703]"
cfcb18c138db3ee4ded83d5d38a34f3cb8e51804,862,0,0,0,54,808,"[295, 78, 22, 502, 703]"
d0cf45e2478453b0a53d3f44bfaae6b9ff75752e,746,0,0,0,46,700,"[295, 78, 22, 502, 703]"
d0e6d1882bf673486a6366c0395fa467eae82717,846,0,0,0,50,796,"[295, 78, 22, 502, 703]"
d5e8a387a029b3014d79a58e75642e3db15abfc6,746,0,0,0,46,700,"[295, 78, 22, 502, 703]"
d60c44fe1b00491caaacdf9624dac6bcbd357ae5,746,0,0,0,46,700,"[295, 78, 22, 502, 703]"
ddc67ab5c724e3132c3a4a0ea1d336a486beaecc,846,0,0,0,50,796,"[295, 78, 22, 502, 703]"
dec86775e606c70411389254fb4e56c56300835b,862,0,0,0,54,808,"[295, 78, 22, 502, 703]"
df2d16b5cec71da5bcbdb61c5b38cc09965e7038,746,0,0,0,46,700,"[295, 78, 22, 502, 703]"
e0f7a5b7a848c7eb5b511e2b751edb7f6d47ed85,746,0,0,0,46,700,"[295, 78, 22, 502, 703]"
e157d3a25f7b2f9768960acd41972d96b0669d25,746,0,0,0,46,700,"[295, 78, 22, 502, 703]"
e1c4aa166380d9b37bad5f02dcd2055969b603c6,848,0,0,0,52,796,"[295, 78, 22, 502, 703]"
e274d103dc72b2c06cca0236a81c2219583af7fa,848,0,0,0,52,796,"[295, 78, 22, 502, 703]"
